Optimization Iteration:      1, Training Accuracy:  31.6%, Validation Accuracy:  15.4% 
Optimization Iteration:      2, Training Accuracy:  31.6%, Validation Accuracy:  14.7% 
Optimization Iteration:      3, Training Accuracy:  41.8%, Validation Accuracy:  63.0% 
Optimization Iteration:      4, Training Accuracy:  44.9%, Validation Accuracy:  75.6% 
Optimization Iteration:      5, Training Accuracy:  41.8%, Validation Accuracy:  75.6% 
Optimization Iteration:      6, Training Accuracy:  47.3%, Validation Accuracy:  75.6% 
Optimization Iteration:      7, Training Accuracy:  39.5%, Validation Accuracy:  67.7% 
Optimization Iteration:      8, Training Accuracy:  25.8%, Validation Accuracy:  10.5% 
Optimization Iteration:      9, Training Accuracy:  19.9%, Validation Accuracy:   9.1% 
Optimization Iteration:     10, Training Accuracy:  23.4%, Validation Accuracy:   9.3% 
Optimization Iteration:     11, Training Accuracy:  29.7%, Validation Accuracy:  22.4% 
Optimization Iteration:     12, Training Accuracy:  51.2%, Validation Accuracy:  60.8% 
Optimization Iteration:     13, Training Accuracy:  58.6%, Validation Accuracy:  77.0% 
Optimization Iteration:     14, Training Accuracy:  52.3%, Validation Accuracy:  61.8% 
Optimization Iteration:     15, Training Accuracy:  43.4%, Validation Accuracy:  48.1% 
Optimization Iteration:     16, Training Accuracy:  43.0%, Validation Accuracy:  43.6% 
Optimization Iteration:     17, Training Accuracy:  43.8%, Validation Accuracy:  49.1% 
Optimization Iteration:     18, Training Accuracy:  52.0%, Validation Accuracy:  59.8% 
Optimization Iteration:     19, Training Accuracy:  57.0%, Validation Accuracy:  75.2% 
Optimization Iteration:     20, Training Accuracy:  53.9%, Validation Accuracy:  79.2% 
Optimization Iteration:     21, Training Accuracy:  52.0%, Validation Accuracy:  81.0% 
Optimization Iteration:     22, Training Accuracy:  55.1%, Validation Accuracy:  79.8% 
Optimization Iteration:     23, Training Accuracy:  55.1%, Validation Accuracy:  80.6% 
Optimization Iteration:     24, Training Accuracy:  59.8%, Validation Accuracy:  80.4% 
Optimization Iteration:     25, Training Accuracy:  62.5%, Validation Accuracy:  78.2% 
Optimization Iteration:     26, Training Accuracy:  66.4%, Validation Accuracy:  60.2% 
Optimization Iteration:     27, Training Accuracy:  46.5%, Validation Accuracy:  50.1% 
Optimization Iteration:     28, Training Accuracy:  39.1%, Validation Accuracy:  41.0% 
Optimization Iteration:     29, Training Accuracy:  39.8%, Validation Accuracy:  41.8% 
Optimization Iteration:     30, Training Accuracy:  50.8%, Validation Accuracy:  49.9% 
Optimization Iteration:     31, Training Accuracy:  69.5%, Validation Accuracy:  57.6% 
Optimization Iteration:     32, Training Accuracy:  74.2%, Validation Accuracy:  72.5% 
Optimization Iteration:     33, Training Accuracy:  69.1%, Validation Accuracy:  77.2% 
Optimization Iteration:     34, Training Accuracy:  63.3%, Validation Accuracy:  78.2% 
Optimization Iteration:     35, Training Accuracy:  61.7%, Validation Accuracy:  79.0% 
Optimization Iteration:     36, Training Accuracy:  61.3%, Validation Accuracy:  78.8% 
Optimization Iteration:     37, Training Accuracy:  62.9%, Validation Accuracy:  78.8% 
Optimization Iteration:     38, Training Accuracy:  62.9%, Validation Accuracy:  78.2% 
Optimization Iteration:     39, Training Accuracy:  62.5%, Validation Accuracy:  75.8% 
Optimization Iteration:     40, Training Accuracy:  66.4%, Validation Accuracy:  74.1% 
Optimization Iteration:     41, Training Accuracy:  74.6%, Validation Accuracy:  72.9% 
Optimization Iteration:     42, Training Accuracy:  78.1%, Validation Accuracy:  68.9% 
Optimization Iteration:     43, Training Accuracy:  78.5%, Validation Accuracy:  61.8% 
Optimization Iteration:     44, Training Accuracy:  75.8%, Validation Accuracy:  59.6% 
Optimization Iteration:     45, Training Accuracy:  74.6%, Validation Accuracy:  59.0% 
Optimization Iteration:     46, Training Accuracy:  76.2%, Validation Accuracy:  62.4% 
Optimization Iteration:     47, Training Accuracy:  78.9%, Validation Accuracy:  66.3% 
Optimization Iteration:     48, Training Accuracy:  76.2%, Validation Accuracy:  72.7% 
Optimization Iteration:     49, Training Accuracy:  76.6%, Validation Accuracy:  77.6% 
Optimization Iteration:     50, Training Accuracy:  74.6%, Validation Accuracy:  78.8% 
Optimization Iteration:     51, Training Accuracy:  73.4%, Validation Accuracy:  78.0% 
Optimization Iteration:     52, Training Accuracy:  72.7%, Validation Accuracy:  76.2% 
Optimization Iteration:     53, Training Accuracy:  76.2%, Validation Accuracy:  74.1% 
Optimization Iteration:     54, Training Accuracy:  73.8%, Validation Accuracy:  74.5% 
Optimization Iteration:     55, Training Accuracy:  77.3%, Validation Accuracy:  74.1% 
Optimization Iteration:     56, Training Accuracy:  76.6%, Validation Accuracy:  71.7% 
Optimization Iteration:     57, Training Accuracy:  79.3%, Validation Accuracy:  71.3% 
Optimization Iteration:     58, Training Accuracy:  77.7%, Validation Accuracy:  70.5% 
Optimization Iteration:     59, Training Accuracy:  79.7%, Validation Accuracy:  67.3% 
Optimization Iteration:     60, Training Accuracy:  80.1%, Validation Accuracy:  65.5% 
Optimization Iteration:     61, Training Accuracy:  80.9%, Validation Accuracy:  65.1% 
Optimization Iteration:     62, Training Accuracy:  80.1%, Validation Accuracy:  65.7% 
Optimization Iteration:     63, Training Accuracy:  80.5%, Validation Accuracy:  67.9% 
Optimization Iteration:     64, Training Accuracy:  79.7%, Validation Accuracy:  70.7% 
Optimization Iteration:     65, Training Accuracy:  77.0%, Validation Accuracy:  72.3% 
Optimization Iteration:     66, Training Accuracy:  79.7%, Validation Accuracy:  73.3% 
Optimization Iteration:     67, Training Accuracy:  76.2%, Validation Accuracy:  72.3% 
Optimization Iteration:     68, Training Accuracy:  78.1%, Validation Accuracy:  72.1% 
Optimization Iteration:     69, Training Accuracy:  80.1%, Validation Accuracy:  72.5% 
Optimization Iteration:     70, Training Accuracy:  77.3%, Validation Accuracy:  72.3% 
Optimization Iteration:     71, Training Accuracy:  80.9%, Validation Accuracy:  72.3% 
Optimization Iteration:     72, Training Accuracy:  80.9%, Validation Accuracy:  72.3% 
Optimization Iteration:     73, Training Accuracy:  82.0%, Validation Accuracy:  72.1% 
Optimization Iteration:     74, Training Accuracy:  82.0%, Validation Accuracy:  72.3% 
Optimization Iteration:     75, Training Accuracy:  79.7%, Validation Accuracy:  72.3% 
Optimization Iteration:     76, Training Accuracy:  81.2%, Validation Accuracy:  71.5% 
Optimization Iteration:     77, Training Accuracy:  80.5%, Validation Accuracy:  70.9% 
Optimization Iteration:     78, Training Accuracy:  80.9%, Validation Accuracy:  70.7% 
Optimization Iteration:     79, Training Accuracy:  80.1%, Validation Accuracy:  69.5% 
